"lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades"
5,4.1,4.8,0,0.110146530592859,-95.9083343076946,13.6036377415688,-97.6651419480364,2639
3,12.5,6.5,16.8,0.310921658467429,107.869197817742,77.7777777777778,-52.9008278229762,45
10,20,12.6,6.5,0.291673222846294,125.567174519574,55,-45.2631827807425,20
1,4.1,6.3,14.5,0.199312781830976,-83.4604845768123,68.3098591549296,-90.7968724697854,284
5,2.1,16.1,13.5,0.173350492536192,-4.7766170169573,50,-89.9033200537356,190
3,13.6,4.4,19.9,0.376476736635209,267.705604947431,92.1052631578947,-46.8967456690051,38
6,11.7,0.8,4.9,0.325154901229093,24.3830615779824,78.4615384615385,-51.3117096007361,130
10,17.7,3.1,4.1,0.30168509757424,113.904388141304,76.1904761904762,-55.1690366896495,42
4,4,4.5,11,0.28467198612818,162.998255772364,72.2614840989399,-84.3533086864186,566
10,6.6,11.2,10.9,0.224090430247731,17.7981525756928,52.9166666666667,-78.6493013800139,240
1,14,4.9,0.8,0.394291468910761,116.170596670024,54.5454545454545,-10.6298330357143,22
4,1.8,11.5,9.5,0.220779218294898,57.1594332746843,49.3472584856397,-87.1274321256363,383
4,15.8,4.9,8.3,0.317775626891549,110.523011870806,81.4814814814815,-50.1071665269839,27
4,2.4,12.9,19.5,0.212349952257687,44.4687375207963,63.8888888888889,-86.1899310514611,180
1,17.1,4.2,16.5,0.459995513374354,158.147392902191,100,-11.9305084745763,12
9,15.5,16.2,5.9,0.246210797907703,26.7832982968849,39.0243902439024,-49.7208007795847,41
1,0.5,13,18.2,0.20954160609009,46.9476505943889,62.2448979591837,-87.4254393185586,196
1,1.2,6.5,4.7,0.155829436127805,-95.7053320597637,43.3797909407665,-97.3377635041956,1148
4,17.1,14.1,3,0.229655505280869,21.3359869468508,38.0952380952381,-51.4135693290668,21
1,18.9,0.5,16.3,0.455961962638216,61.9681039692863,100,-6.14035087719298,7
1,19.7,8.6,8.7,0.449272540194343,102.844288593889,100,-10.4956268221574,6
1,12.2,14.2,17.7,0.276957618956551,46.9311046250893,65.3846153846154,-51.6873335069505,26
2,7.8,16.3,6.8,0.230668995759594,101.433436579608,38.8888888888889,-65.9612934617118,108
8,16.6,11.2,16.7,0.349763072979887,247.566492832501,79.3103448275862,-46.8967456690051,29
